2024-11-24 07:49:19.224 [main] INFO  com.gtcafe.asimov.consumer.Main - Starting Main using Java 17.0.13 with PID 130017 (/home/ubuntu/repos/asimov/event-consumer/build/classes/java/main started by ubuntu in /home/ubuntu/repos/asimov/event-consumer)
2024-11-24 07:49:19.225 [main] INFO  com.gtcafe.asimov.consumer.Main - No active profile set, falling back to 1 default profile: "default"
2024-11-24 07:49:19.576 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-11-24 07:49:19.577 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-11-24 07:49:19.592 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7 ms. Found 0 Redis repository interfaces.
2024-11-24 07:49:19.816 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2024-11-24 07:49:19.821 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2024-11-24 07:49:19.822 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-11-24 07:49:19.823 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.33]
2024-11-24 07:49:19.864 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-11-24 07:49:19.864 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 611 ms
2024-11-24 07:49:20.347 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2024-11-24 07:49:20.359 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path '/'
2024-11-24 07:49:20.362 [main] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2024-11-24 07:49:20.389 [main] INFO  o.s.a.r.c.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#7ec3a8bd:0/SimpleConnection@2c815fdc [delegate=amqp://root@127.0.0.1:5672/, localPort=44316]
2024-11-24 07:49:20.436 [main] INFO  com.gtcafe.asimov.consumer.Main - Started Main in 1.532 seconds (process running for 1.687)
2024-11-24 07:49:20.452 [pool-3-thread-5] WARN  o.s.a.r.l.BlockingQueueConsumer - Cancel received for amq.ctag-4QPg52JXFLG-9fptt3p46w (asimov.platform.hello); Consumer@1ed9d173: tags=[[amq.ctag-4QPg52JXFLG-9fptt3p46w]], channel=Cached Rabbit Channel: AMQChannel(amqp://root@127.0.0.1:5672/,1), conn: Proxy@1a7d0c9f Shared Rabbit Connection: SimpleConnection@2c815fdc [delegate=amqp://root@127.0.0.1:5672/, localPort=44316], acknowledgeMode=AUTO local queue size=0
2024-11-24 07:49:20.454 [pool-3-thread-6] WARN  o.s.a.r.l.BlockingQueueConsumer - Cancel received for amq.ctag-R34mvX3dumewLQl_J4nXcg (asimov.platform.tenant); Consumer@143413cd: tags=[[amq.ctag-R34mvX3dumewLQl_J4nXcg]], channel=Cached Rabbit Channel: AMQChannel(amqp://root@127.0.0.1:5672/,2), conn: Proxy@1a7d0c9f Shared Rabbit Connection: SimpleConnection@2c815fdc [delegate=amqp://root@127.0.0.1:5672/, localPort=44316], acknowledgeMode=AUTO local queue size=0
